ADM1_EN,ADM1_PCODE,name
Analamanga,MG11,Analamanga
Vakinankaratra,MG12,Vakinankaratra
Itasy,MG13,Itasy
Bongolava,MG14,Bongolava
Haute Matsiatra,MG21,Haute-Matsiatra
Amoron I Mania,MG22,Amoron I Mania
Vatovavy Fitovinany,MG23,Vatovavy Fitovinany
Ihorombe,MG24,Ihorombe
Atsimo Atsinanana,MG25,Atsimo Atsinanana
Atsinanana,MG31,Atsinanana
Analanjirofo,MG32,Analanjirofo
Alaotra Mangoro,MG33,Alaotra-Mangoro
Boeny,MG41,Boeny
Sofia,MG42,Sofia
Betsiboka,MG43,Betsiboka
Melaky,MG44,Melaky
Atsimo Andrefana,MG51,Atsimo-Andrefana
Androy,MG52,Androy
Anosy,MG53,Anosy
Menabe,MG54,Menabe
Diana,MG71,Diana
Sava,MG72,Sava
