"","week","Location4","cases"
"1",2020-03-22,"Analamanga",3
"2",2020-03-29,"Analamanga",27
"3",2020-03-29,"Atsinanana",6
"4",2020-03-29,"Menabe",1
"5",2020-04-05,"Analamanga",16
"6",2020-04-05,"Atsinanana",4
"7",2020-04-05,"Diana",1
"8",2020-04-05,"Matsiatra-Ambony",7
"9",2020-04-12,"Analamanga",13
"10",2020-04-12,"Analanjirofo",2
"11",2020-04-12,"Atsimo-Andrefana",3
"12",2020-04-12,"Atsinanana",9
"13",2020-04-12,"Diana",1
"14",2020-04-19,"Analamanga",12
"15",2020-04-19,"Atsinanana",6
"16",2020-04-26,"Analamanga",2
"17",2020-04-26,"Atsinanana",1
"18",2020-05-03,"Analamanga",7
"19",2020-05-03,"Anosy",1
"20",2020-05-03,"Atsinanana",3
"21",2020-05-03,"Matsiatra-Ambony",1
"22",2020-05-10,"Alaotra-Mangoro",1
"23",2020-05-10,"Analamanga",11
"24",2020-05-10,"Atsinanana",20
"25",2020-05-10,"Vakinankaratra",1
"26",2020-05-17,"Alaotra-Mangoro",14
"27",2020-05-17,"Analamanga",23
"28",2020-05-17,"Atsinanana",66
"29",2020-05-17,"Matsiatra-Ambony",1
"30",2020-05-24,"Alaotra-Mangoro",10
"31",2020-05-24,"Analamanga",10
"32",2020-05-24,"Atsinanana",184
"33",2020-05-24,"Boeny",1
"34",2020-05-31,"Alaotra-Mangoro",20
"35",2020-05-31,"Analamanga",67
"36",2020-05-31,"Analanjirofo",5
"37",2020-05-31,"Anosy",6
"38",2020-05-31,"Atsimo-Andrefana",3
"39",2020-05-31,"Atsinanana",163
"40",2020-05-31,"Bongolava",2
"41",2020-05-31,"Vakinankaratra",1
"42",2020-06-07,"Alaotra-Mangoro",16
"43",2020-06-07,"Analamanga",77
"44",2020-06-07,"Analanjirofo",7
"45",2020-06-07,"Anosy",14
"46",2020-06-07,"Atsimo-Andrefana",3
"47",2020-06-07,"Atsinanana",121
"48",2020-06-07,"Itasy",1
"49",2020-06-07,"Matsiatra-Ambony",2
"50",2020-06-14,"Alaotra-Mangoro",2
"51",2020-06-14,"Analamanga",57
"52",2020-06-14,"Analanjirofo",14
"53",2020-06-14,"Atsinanana",143
"54",2020-06-14,"Itasy",4
"55",2020-06-21,"Alaotra-Mangoro",16
"56",2020-06-21,"Analamanga",138
"57",2020-06-21,"Analanjirofo",20
"58",2020-06-21,"Atsimo-Andrefana",1
"59",2020-06-21,"Atsinanana",37
"60",2020-06-21,"Boeny",3
"61",2020-06-21,"Bongolava",1
"62",2020-06-21,"Ihorombe",1
"63",2020-06-21,"Matsiatra-Ambony",1
"64",2020-06-21,"Vakinankaratra",3
"65",2020-06-28,"Alaotra-Mangoro",22
"66",2020-06-28,"Analamanga",324
"67",2020-06-28,"Analanjirofo",14
"68",2020-06-28,"Atsinanana",29
"69",2020-06-28,"Boeny",1
"70",2020-06-28,"Matsiatra-Ambony",1
"71",2020-06-28,"Vakinankaratra",6
"72",2020-07-05,"Alaotra-Mangoro",18
"73",2020-07-05,"Amoron’i Mania",1
"74",2020-07-05,"Analamanga",624
"75",2020-07-05,"Analanjirofo",4
"76",2020-07-05,"Atsinanana",3
"77",2020-07-05,"Matsiatra-Ambony",1
"78",2020-07-05,"Sava",1
"79",2020-07-05,"Vakinankaratra",3
"80",2020-07-05,"Vatovavy-Fitovinany",1
"81",2020-07-12,"Alaotra-Mangoro",20
"82",2020-07-12,"Analamanga",1757
"83",2020-07-12,"Analanjirofo",5
"84",2020-07-12,"Anosy",2
"85",2020-07-12,"Atsimo-Andrefana",5
"86",2020-07-12,"Atsinanana",7
"87",2020-07-12,"Boeny",3
"88",2020-07-12,"Diana",3
"89",2020-07-12,"Itasy",4
"90",2020-07-12,"Matsiatra-Ambony",10
"91",2020-07-12,"Menabe",2
"92",2020-07-12,"Sava",1
"93",2020-07-12,"Vakinankaratra",27
"94",2020-07-12,"Vatovavy-Fitovinany",1
"95",2020-07-19,"Alaotra-Mangoro",69
"96",2020-07-19,"Analamanga",1919
"97",2020-07-19,"Analanjirofo",23
"98",2020-07-19,"Anosy",33
"99",2020-07-19,"Atsimo-Andrefana",32
"100",2020-07-19,"Atsinanana",19
"101",2020-07-19,"Betsiboka",6
"102",2020-07-19,"Boeny",32
"103",2020-07-19,"Bongolava",7
"104",2020-07-19,"Diana",50
"105",2020-07-19,"Ihorombe",3
"106",2020-07-19,"Itasy",13
"107",2020-07-19,"Matsiatra-Ambony",23
"108",2020-07-19,"Menabe",1
"109",2020-07-19,"Sofia",4
"110",2020-07-19,"Vakinankaratra",15
"111",2020-07-19,"Vatovavy-Fitovinany",10
"112",2020-07-26,"Alaotra-Mangoro",5
"113",2020-07-26,"Amoron’i Mania",12
"114",2020-07-26,"Analamanga",1718
"115",2020-07-26,"Analanjirofo",13
"116",2020-07-26,"Androy",2
"117",2020-07-26,"Anosy",8
"118",2020-07-26,"Atsimo-Andrefana",29
"119",2020-07-26,"Atsinanana",11
"120",2020-07-26,"Betsiboka",5
"121",2020-07-26,"Boeny",81
"122",2020-07-26,"Bongolava",7
"123",2020-07-26,"Diana",4
"124",2020-07-26,"Itasy",17
"125",2020-07-26,"Matsiatra-Ambony",36
"126",2020-07-26,"Menabe",1
"127",2020-07-26,"Sofia",4
"128",2020-07-26,"Vakinankaratra",40
"129",2020-07-26,"Vatovavy-Fitovinany",4
"130",2020-08-02,"Alaotra-Mangoro",102
"131",2020-08-02,"Amoron’i Mania",8
"132",2020-08-02,"Analamanga",1907
"133",2020-08-02,"Analanjirofo",6
"134",2020-08-02,"Androy",4
"135",2020-08-02,"Anosy",7
"136",2020-08-02,"Atsimo-Andrefana",26
"137",2020-08-02,"Atsimo-Atsinanana",3
"138",2020-08-02,"Atsinanana",14
"139",2020-08-02,"Betsiboka",15
"140",2020-08-02,"Boeny",109
"141",2020-08-02,"Bongolava",61
