"","week","n.cases","n.deaths","n.tests"
"1",2020-03-21,3,0,0
"2",2020-03-28,23,0,0
"3",2020-04-04,44,0,0
"4",2020-04-11,32,0,0
"5",2020-04-18,15,0,0
"6",2020-04-25,5,0,0
"7",2020-05-02,10,0,235
"8",2020-05-09,35,0,607
"9",2020-05-16,71,0,1179
"10",2020-05-23,210,2,0
"11",2020-05-30,250,3,1135
"12",2020-06-06,277,2,2015
"13",2020-06-13,255,3,2241
"14",2020-06-20,213,3,1947
"15",2020-06-27,479,3,2971
"16",2020-07-04,590,10,2280
"17",2020-07-11,1631,8,4260
"18",2020-07-18,2324,20,4700
"19",2020-07-25,2274,22,5502
"20",2020-08-01,2127,30,5445
"21",2020-08-08,1840,29,7271
"22",2020-08-15,935,29,4880
"23",2020-08-22,575,14,4153
"24",2020-08-29,478,9,2723
"25",2020-09-05,491,11,3899
"26",2020-09-12,482,11,3789
"27",2020-09-19,302,7,3656
"28",2020-09-26,250,11,2892
"29",2020-10-03,272,4,3603
"30",2020-10-10,183,5,2769
"31",2020-10-17,78,0,1542
